date_time,number_of_rentals
2021-04-01,93549.887
2021-04-02,87396.268
2021-04-03,54016.52
2021-04-04,68771.685
2021-04-05,90529.066
2021-04-06,89465.386
2021-04-07,88787.85
2021-04-08,89299.806
2021-04-09,90422.251
2021-04-10,90567.828
2021-04-11,90764.313
2021-04-12,55928.152
2021-04-13,67506.322
2021-04-14,83449.882
2021-04-15,83977.211
2021-04-16,68040.966
2021-04-17,70850.146
2021-04-18,90602.716
2021-04-19,94553.334
2021-04-20,94485.372
2021-04-21,94904.61
2021-04-22,94823.826
2021-04-23,92536.767
2021-04-24,95015.11
2021-04-25,95849.157
2021-04-26,96026.422
2021-04-27,92825.199
2021-04-28,83288.42
2021-04-29,88293.404
2021-04-30,64143.132
2021-05-01,60267.054
2021-05-02,90265.071
2021-05-03,94766.359
2021-05-04,69344.167
2021-05-05,87668.422
2021-05-06,94832.677
2021-05-07,91370.361
2021-05-08,93738.093
2021-05-09,95278.381
2021-05-10,91323.65
2021-05-11,97593.202
2021-05-12,96687.315
2021-05-13,100874.532
2021-05-14,97124.34
2021-05-15,80399.941
2021-05-16,52617.682
2021-05-17,82231.995
2021-05-18,97507.487
2021-05-19,96705.764
2021-05-20,82829.338
2021-05-21,67683.724
2021-05-22,98724.067
2021-05-23,97573.853
2021-05-24,96653.632
2021-05-25,84296.855
2021-05-26,92812.787
2021-05-27,81065.617
2021-05-28,81982.318
2021-05-29,95821.919
2021-05-30,92252.83
2021-05-31,76339.675
2021-06-01,100335.224
2021-06-02,96824.675
2021-06-03,76511.874
2021-06-04,99692.693
2021-06-05,100412.725
2021-06-06,100198.842
2021-06-07,102319.748
2021-06-08,98153.033
2021-06-09,90342.438
2021-06-10,95669.394
2021-06-11,63986.619
2021-06-12,99792.411
2021-06-13,100059.635
2021-06-14,102872.722
2021-06-15,90015.841
2021-06-16,94172.264
2021-06-17,97667.509
2021-06-18,83102.823
2021-06-19,104673.381
2021-06-20,101923.804
2021-06-21,102882.271
2021-06-22,77426.018
2021-06-23,67495.635
2021-06-24,82411.299
2021-06-25,101025.177
2021-06-26,88376.132
2021-06-27,90921.412
2021-06-28,70566.239
2021-06-29,75215.226
2021-06-30,68222.259
