date_time,number_of_rentals
2021-04-01,87756.08203125
2021-04-02,85207.388671875
2021-04-03,29696.66015625
2021-04-04,42422.3525390625
2021-04-05,82019.4423828125
2021-04-06,82459.8310546875
2021-04-07,80193.9033203125
2021-04-08,80194.1103515625
2021-04-09,82224.513671875
2021-04-10,84960.0810546875
2021-04-11,84535.4638671875
2021-04-12,42927.55615234375
2021-04-13,54159.21240234375
2021-04-14,77317.8310546875
2021-04-15,80044.3935546875
2021-04-16,59375.99609375
2021-04-17,56323.70458984375
2021-04-18,82928.982421875
2021-04-19,89887.4140625
2021-04-20,96519.5087890625
2021-04-21,97343.8466796875
2021-04-22,94985.6630859375
2021-04-23,87785.3876953125
2021-04-24,92918.462890625
2021-04-25,90306.6767578125
2021-04-26,88268.7490234375
2021-04-27,84496.525390625
2021-04-28,74994.341796875
2021-04-29,83929.2802734375
2021-04-30,55625.1689453125
2021-05-01,20477.45361328125
2021-05-02,78629.94921875
2021-05-03,89254.673828125
2021-05-04,37460.41064453125
2021-05-05,79394.734375
2021-05-06,90054.1171875
2021-05-07,79104.2333984375
2021-05-08,88297.7880859375
2021-05-09,89873.6826171875
2021-05-10,80004.79296875
2021-05-11,102050.978515625
2021-05-12,103273.5966796875
2021-05-13,103760.4248046875
2021-05-14,101680.9345703125
2021-05-15,78353.2099609375
2021-05-16,35095.3017578125
2021-05-17,79323.744140625
2021-05-18,100838.7255859375
2021-05-19,98662.2080078125
2021-05-20,81958.560546875
2021-05-21,58093.701171875
2021-05-22,98434.5966796875
2021-05-23,97247.6943359375
2021-05-24,94047.9873046875
2021-05-25,79696.8623046875
2021-05-26,88485.7880859375
2021-05-27,75416.1904296875
2021-05-28,75324.0556640625
2021-05-29,91079.703125
2021-05-30,93132.5263671875
2021-05-31,78261.3369140625
2021-06-01,103029.5947265625
2021-06-02,101324.251953125
2021-06-03,56308.84375
2021-06-04,92734.1044921875
2021-06-05,103479.109375
2021-06-06,104777.060546875
2021-06-07,105262.3798828125
2021-06-08,97606.4287109375
2021-06-09,105897.6708984375
2021-06-10,97769.5966796875
2021-06-11,60985.76171875
2021-06-12,106474.5419921875
2021-06-13,106523.78125
2021-06-14,106309.6142578125
2021-06-15,96931.171875
2021-06-16,103093.439453125
2021-06-17,101240.5849609375
2021-06-18,72213.1748046875
2021-06-19,105476.3310546875
2021-06-20,105128.1083984375
2021-06-21,104234.3544921875
2021-06-22,69376.5791015625
2021-06-23,39730.0908203125
2021-06-24,86077.791015625
2021-06-25,105434.7080078125
2021-06-26,98468.345703125
2021-06-27,100752.9150390625
2021-06-28,48680.7197265625
2021-06-29,75180.3203125
2021-06-30,68755.3486328125
