date_time,number_of_rentals
2021-04-01,76726.83832384807
2021-04-02,71507.81493586469
2021-04-03,40113.585404321544
2021-04-04,51216.14398521305
2021-04-05,79622.21719560567
2021-04-06,82095.31976975987
2021-04-07,78242.153941348
2021-04-08,76733.6746543425
2021-04-09,77021.74748060014
2021-04-10,80543.1676035581
2021-04-11,77908.43947700178
2021-04-12,41373.02664860809
2021-04-13,48578.87572666896
2021-04-14,73266.55755713978
2021-04-15,74443.47249161902
2021-04-16,50416.18395898436
2021-04-17,48389.674294752236
2021-04-18,79522.56250474458
2021-04-19,84159.72221959902
2021-04-20,88212.82564597251
2021-04-21,90734.0167632611
2021-04-22,89596.57086896237
2021-04-23,78837.30140142541
2021-04-24,84398.33374811953
2021-04-25,86717.42038010556
2021-04-26,83227.71716986815
2021-04-27,77135.97554021914
2021-04-28,71898.49228927113
2021-04-29,74615.1128343186
2021-04-30,46800.89942358353
2021-05-01,29732.306601583798
2021-05-02,71936.2639396647
2021-05-03,84113.4152523654
2021-05-04,46352.72475583784
2021-05-05,72048.99868945572
2021-05-06,84391.95395954017
2021-05-07,72078.4754124097
2021-05-08,82126.68876731009
2021-05-09,79628.23447003508
2021-05-10,69204.92445329965
2021-05-11,100863.75783483913
2021-05-12,101766.65791640784
2021-05-13,98246.36652002962
2021-05-14,90962.14749954006
2021-05-15,73158.98206643372
2021-05-16,37373.05004770081
2021-05-17,77348.79055130055
2021-05-18,95064.15820865061
2021-05-19,94982.7290894329
2021-05-20,78748.5833121702
2021-05-21,54550.76843143676
2021-05-22,96703.40388367996
2021-05-23,95106.34254227637
2021-05-24,93169.1616995136
2021-05-25,70581.16766695847
2021-05-26,86166.22837130744
2021-05-27,68665.8978834831
2021-05-28,68397.4876789479
2021-05-29,90128.10100547643
2021-05-30,85227.45832952029
2021-05-31,67771.69102215942
2021-06-01,88974.59204649797
2021-06-02,99349.03335419408
2021-06-03,56407.392338515616
2021-06-04,94933.55564610554
2021-06-05,96688.69591075461
2021-06-06,102994.72496666071
2021-06-07,107852.0101877617
2021-06-08,90515.93959274888
2021-06-09,100121.16483543842
2021-06-10,93619.00806832309
2021-06-11,58183.41455734496
2021-06-12,104595.80032063976
2021-06-13,101862.1029098453
2021-06-14,103483.0772514456
2021-06-15,90414.75810822441
2021-06-16,92246.96415502392
2021-06-17,90507.64905610633
2021-06-18,75236.39935202665
2021-06-19,105641.18206013768
2021-06-20,103796.20955588688
2021-06-21,100527.52099843802
2021-06-22,54999.77068400193
2021-06-23,50157.63978852524
2021-06-24,74465.25507230767
2021-06-25,99369.29390292172
2021-06-26,91950.74579193362
2021-06-27,92919.88978879194
2021-06-28,58427.82978140955
2021-06-29,64201.27191532465
2021-06-30,57310.207540485855
