date_time,number_of_rentals
2021-04-01,71691.85530058447
2021-04-02,60015.85254468675
2021-04-03,22898.02609810065
2021-04-04,35497.52926894642
2021-04-05,78644.77513545728
2021-04-06,82691.38570158901
2021-04-07,78552.26946604792
2021-04-08,77123.69651108018
2021-04-09,77676.02602213992
2021-04-10,82717.67967830655
2021-04-11,76005.64272107735
2021-04-12,29851.129177268576
2021-04-13,60716.41747685189
2021-04-14,72138.92862632894
2021-04-15,73620.15174617601
2021-04-16,57013.283032461244
2021-04-17,74610.26303150885
2021-04-18,77610.11638783044
2021-04-19,85845.35034135499
2021-04-20,91293.71641642672
2021-04-21,88540.4594164867
2021-04-22,79656.88261584086
2021-04-23,75663.23724040818
2021-04-24,77798.7721066034
2021-04-25,76214.40129171003
2021-04-26,81095.36612426022
2021-04-27,65744.22280554722
2021-04-28,76043.27553643072
2021-04-29,66936.1115739931
2021-04-30,57346.4117632347
2021-05-01,42662.664424979455
2021-05-02,83167.77425146813
2021-05-03,86048.79781330151
2021-05-04,48319.0972939192
2021-05-05,82480.37185085642
2021-05-06,83379.55459167229
2021-05-07,76501.24031293317
2021-05-08,83869.29003837862
2021-05-09,79352.2764785919
2021-05-10,74865.51298166123
2021-05-11,97477.59639114945
2021-05-12,96628.59773780518
2021-05-13,94578.65655877793
2021-05-14,91113.14098364285
2021-05-15,79139.71162447949
2021-05-16,29156.632188677617
2021-05-17,67635.72127076668
2021-05-18,91050.71176062839
2021-05-19,94394.52200286699
2021-05-20,78173.61626122965
2021-05-21,62608.286091658956
2021-05-22,97553.90887398332
2021-05-23,93425.37433657203
2021-05-24,92642.15919859275
2021-05-25,81064.14603166723
2021-05-26,86066.4403333353
2021-05-27,71161.0612297347
2021-05-28,77324.16036996774
2021-05-29,95985.8425710381
2021-05-30,93872.90279431669
2021-05-31,56532.840616026464
2021-06-01,87756.07395739348
2021-06-02,99400.54118965084
2021-06-03,52955.616030972
2021-06-04,97284.87394383163
2021-06-05,99162.18295486586
2021-06-06,90020.15673061424
2021-06-07,92139.64947287706
2021-06-08,95553.51992305665
2021-06-09,100735.87905333219
2021-06-10,96400.65188123705
2021-06-11,64230.838653026105
2021-06-12,102016.78293151679
2021-06-13,100158.28644347428
2021-06-14,103403.68894734254
2021-06-15,90429.94999133282
2021-06-16,88952.571328118
2021-06-17,94953.44367177342
2021-06-18,77330.26340285402
2021-06-19,104948.015855238
2021-06-20,97837.49765044883
2021-06-21,104271.35011097374
2021-06-22,96782.70900735566
2021-06-23,78525.24107722938
2021-06-24,90625.79502077764
2021-06-25,100097.05022596628
2021-06-26,90289.37033811011
2021-06-27,99117.67984367933
2021-06-28,96041.16382729885
2021-06-29,93736.67501353374
2021-06-30,90132.28869827479
