date_time,number_of_rentals
2021-04-01,72254.52681557831
2021-04-02,60213.787046015255
2021-04-03,22053.121532748326
2021-04-04,35756.168490352844
2021-04-05,80796.56477840446
2021-04-06,83336.45057163715
2021-04-07,78822.78197004726
2021-04-08,76786.98527320786
2021-04-09,78193.56951330979
2021-04-10,83040.1276923288
2021-04-11,75613.27640470803
2021-04-12,29222.499894516153
2021-04-13,60651.65253480789
2021-04-14,72251.6012018576
2021-04-15,73653.98841591208
2021-04-16,56356.2746426755
2021-04-17,74948.20922526422
2021-04-18,77321.57250248335
2021-04-19,86211.34715260417
2021-04-20,91684.47101207396
2021-04-21,89097.43177328518
2021-04-22,78169.10524693546
2021-04-23,75684.8257072504
2021-04-24,77783.28041459629
2021-04-25,75407.31572364343
2021-04-26,82134.5394107716
2021-04-27,65204.605400018896
2021-04-28,75353.36805230752
2021-04-29,69172.64223784675
2021-04-30,57896.77465403135
2021-05-01,43405.10629794707
2021-05-02,82741.29060684684
2021-05-03,85775.42155542584
2021-05-04,47969.81239912539
2021-05-05,82551.08594538845
2021-05-06,83725.00871415576
2021-05-07,76508.90047445329
2021-05-08,84380.91013696943
2021-05-09,79508.57578316155
2021-05-10,74808.88378607646
2021-05-11,97775.22829969983
2021-05-12,97002.28896879955
2021-05-13,94988.37463426718
2021-05-14,91462.86932546942
2021-05-15,80126.41943064978
2021-05-16,27720.061720575977
2021-05-17,67694.26653759589
2021-05-18,90627.35792455221
2021-05-19,94259.26616480348
2021-05-20,77519.54361323576
2021-05-21,62903.672804217254
2021-05-22,98000.3158953483
2021-05-23,93328.26964864947
2021-05-24,93262.74438145441
2021-05-25,79637.6196681226
2021-05-26,86469.6982268624
2021-05-27,70538.21642024144
2021-05-28,77113.83407168575
2021-05-29,96238.68841250356
2021-05-30,93298.41367317532
2021-05-31,58582.069748953894
2021-06-01,87368.33229891
2021-06-02,99519.76876267666
2021-06-03,54343.61256819851
2021-06-04,97858.03849812868
2021-06-05,99702.62608662987
2021-06-06,90063.45309927723
2021-06-07,92263.61003768782
2021-06-08,95859.91972292846
2021-06-09,100812.07865575141
2021-06-10,97124.96747768998
2021-06-11,62925.8508150196
2021-06-12,102078.1819289829
2021-06-13,99905.01022483657
2021-06-14,102886.52985622926
2021-06-15,90509.5360527473
2021-06-16,88976.28226229365
2021-06-17,94513.56933602913
2021-06-18,77026.24862405779
2021-06-19,105273.79646057474
2021-06-20,97641.60038948138
2021-06-21,105041.42044447354
2021-06-22,96577.96131463959
2021-06-23,79273.82414783182
2021-06-24,94002.64622738816
2021-06-25,100154.33469864447
2021-06-26,91036.86541199796
2021-06-27,99536.86574531635
2021-06-28,97045.9971362714
2021-06-29,93743.70501393871
2021-06-30,90811.75049461705
