date_time,number_of_rentals
2021-04-01,70006.907
2021-04-02,68618.811
2021-04-03,41117.091
2021-04-04,37358.91
2021-04-05,76027.623
2021-04-06,74830.337
2021-04-07,74071.506
2021-04-08,75373.147
2021-04-09,76248.271
2021-04-10,77425.193
2021-04-11,77378.056
2021-04-12,33013.28
2021-04-13,51951.639
2021-04-14,75315.398
2021-04-15,76444.588
2021-04-16,51033.011
2021-04-17,50846.789
2021-04-18,79521.577
2021-04-19,87327.728
2021-04-20,90187.279
2021-04-21,94350.587
2021-04-22,91072.425
2021-04-23,86636.293
2021-04-24,86675.174
2021-04-25,88099.563
2021-04-26,82828.536
2021-04-27,74907.05
2021-04-28,68873.866
2021-04-29,71366.03
2021-04-30,46470.962
2021-05-01,33819.805
2021-05-02,65285.283
2021-05-03,78697.014
2021-05-04,45459.623
2021-05-05,64452.292
2021-05-06,78395.6
2021-05-07,63475.302
2021-05-08,76173.977
2021-05-09,76490.028
2021-05-10,68315.064
2021-05-11,102186.06
2021-05-12,102897.402
2021-05-13,103442.227
2021-05-14,92499.951
2021-05-15,70134.089
2021-05-16,35929.27
2021-05-17,75739.288
2021-05-18,94568.436
2021-05-19,94425.057
2021-05-20,81407.806
2021-05-21,54703.317
2021-05-22,94896.273
2021-05-23,95500.818
2021-05-24,90071.046
2021-05-25,72512.014
2021-05-26,87471.786
2021-05-27,60037.666
2021-05-28,74039.373
2021-05-29,90716.909
2021-05-30,85783.663
2021-05-31,71969.495
2021-06-01,97823.899
2021-06-02,95092.075
2021-06-03,59720.586
2021-06-04,93278.595
2021-06-05,101761.019
2021-06-06,102688.332
2021-06-07,104029.181
2021-06-08,97242.471
2021-06-09,103833.568
2021-06-10,99086.132
2021-06-11,52549.536
2021-06-12,104416.808
2021-06-13,103376.589
2021-06-14,104167.839
2021-06-15,96873.946
2021-06-16,93980.911
2021-06-17,94823.66
2021-06-18,61780.502
2021-06-19,104662.181
2021-06-20,103300.916
2021-06-21,103020.123
2021-06-22,60444.345
2021-06-23,50537.561
2021-06-24,67670.316
2021-06-25,101715.345
2021-06-26,92005.046
2021-06-27,98429.892
2021-06-28,55277.624
2021-06-29,60915.681
2021-06-30,52591.765
