date_time,number_of_rentals
2021-04-01,74357.84247736035
2021-04-02,70459.19903465324
2021-04-03,50698.52797195937
2021-04-04,52326.88371032606
2021-04-05,84147.76252802301
2021-04-06,81860.29999846448
2021-04-07,83819.04670107663
2021-04-08,82140.2764383182
2021-04-09,84625.87748424927
2021-04-10,85051.17345876237
2021-04-11,83207.64581317084
2021-04-12,47758.20340862028
2021-04-13,58360.955443258536
2021-04-14,81422.77504804752
2021-04-15,82200.82644488956
2021-04-16,57573.64226170576
2021-04-17,57095.67815411
2021-04-18,83894.91045535439
2021-04-19,93477.92752504059
2021-04-20,96681.83013519157
2021-04-21,98800.3203570038
2021-04-22,95919.94893151906
2021-04-23,81290.4327222683
2021-04-24,89153.88645500138
2021-04-25,93207.94975136097
2021-04-26,86934.6121587091
2021-04-27,73456.86089265006
2021-04-28,73104.86777507597
2021-04-29,76488.91377623322
2021-04-30,54155.92886643634
2021-05-01,39597.563603252245
2021-05-02,78617.96020987468
2021-05-03,87498.65048829601
2021-05-04,56569.42745175778
2021-05-05,76102.62474030853
2021-05-06,87924.30167422118
2021-05-07,71480.02060341556
2021-05-08,83972.21758410435
2021-05-09,85689.07777979446
2021-05-10,77974.95791013642
2021-05-11,105056.84916359645
2021-05-12,103698.47512302904
2021-05-13,104356.25749065912
2021-05-14,102483.85510356221
2021-05-15,80594.8008774451
2021-05-16,54941.88563600739
2021-05-17,84782.91623407348
2021-05-18,101087.88661319403
2021-05-19,100867.63820226428
2021-05-20,82816.83246075241
2021-05-21,67610.91632340777
2021-05-22,102521.49200601965
2021-05-23,99929.7454121059
2021-05-24,95670.24472384002
2021-05-25,78089.37870352688
2021-05-26,85757.86979351392
2021-05-27,70352.52779878149
2021-05-28,74830.30492429547
2021-05-29,95566.10847278651
2021-05-30,94546.56345893769
2021-05-31,83729.89550553962
2021-06-01,98059.41396992389
2021-06-02,104155.74937678478
2021-06-03,71877.14596063939
2021-06-04,99362.85194029503
2021-06-05,103664.47715368068
2021-06-06,107140.00293520521
2021-06-07,109745.4784411382
2021-06-08,96608.844175893
2021-06-09,104751.40507586671
2021-06-10,99626.87014442765
2021-06-11,69074.00351343052
2021-06-12,110146.50325274265
2021-06-13,108115.9718940167
2021-06-14,109579.38808087888
2021-06-15,95756.90936334315
2021-06-16,102226.86985153098
2021-06-17,99812.33384420621
2021-06-18,81863.00765377544
2021-06-19,111459.34190339746
2021-06-20,108664.47770667852
2021-06-21,111986.51943386506
2021-06-22,68850.73183892002
2021-06-23,55659.52673182534
2021-06-24,85582.37168485184
2021-06-25,107989.97523233514
2021-06-26,95975.7014033751
2021-06-27,102232.62139359907
2021-06-28,61634.56584231694
2021-06-29,74261.21518463569
2021-06-30,68091.00546866943
