date_time,number_of_rentals
2021-04-01,89915.93873313896
2021-04-02,86218.67133408683
2021-04-03,46764.87618196347
2021-04-04,55885.791447118325
2021-04-05,89209.96363418187
2021-04-06,88238.8297076763
2021-04-07,87486.35848136361
2021-04-08,85596.36445078302
2021-04-09,90246.57018636177
2021-04-10,89322.28708666922
2021-04-11,90199.1959244399
2021-04-12,41149.83536044607
2021-04-13,53654.37013056903
2021-04-14,82584.93568433188
2021-04-15,85223.65418365358
2021-04-16,58479.602150516446
2021-04-17,52559.87976263831
2021-04-18,88492.05301895412
2021-04-19,93735.91256302122
2021-04-20,96900.3853621919
2021-04-21,97565.98342143185
2021-04-22,98836.50934532064
2021-04-23,94466.8770331914
2021-04-24,95449.37595033369
2021-04-25,97003.26683393128
2021-04-26,95264.5691772434
2021-04-27,90613.39273108818
2021-04-28,78658.07825723819
2021-04-29,85149.50133572436
2021-04-30,52837.892549895274
2021-05-01,44212.20074877651
2021-05-02,87418.57753663606
2021-05-03,97911.10251941161
2021-05-04,60076.110688377245
2021-05-05,88293.97634525986
2021-05-06,96801.15878237052
2021-05-07,89938.03369101326
2021-05-08,98170.93956425852
2021-05-09,97634.9466719542
2021-05-10,87686.20014682964
2021-05-11,103232.9487835988
2021-05-12,105624.39954493758
2021-05-13,100601.96399981256
2021-05-14,98112.35235632202
2021-05-15,73925.02229911795
2021-05-16,41407.7894030918
2021-05-17,82951.01435661198
2021-05-18,103344.26074635226
2021-05-19,100216.56614548108
2021-05-20,76683.46006754754
2021-05-21,66758.87150649585
2021-05-22,103487.82738779292
2021-05-23,100638.97223033951
2021-05-24,100542.01554290009
2021-05-25,80902.9505455579
2021-05-26,92864.02041053676
2021-05-27,73186.64440579039
2021-05-28,78923.69224163899
2021-05-29,98019.43536606946
2021-05-30,90953.55781551563
2021-05-31,77253.40389408416
2021-06-01,100574.49104467349
2021-06-02,102841.76260414513
2021-06-03,68542.99966766943
2021-06-04,105250.89385409102
2021-06-05,111356.43772201567
2021-06-06,111526.13528321988
2021-06-07,112134.43999726581
2021-06-08,101041.48882215713
2021-06-09,96804.5597529215
2021-06-10,97705.81559255377
2021-06-11,67545.03753245543
2021-06-12,105630.11914548623
2021-06-13,105009.27530571827
2021-06-14,107108.25380446644
2021-06-15,97549.45051031026
2021-06-16,103141.72724366852
2021-06-17,98904.26784655603
2021-06-18,82975.23784220351
2021-06-19,110356.03979421174
2021-06-20,107151.24882649125
2021-06-21,109557.58835308932
2021-06-22,60389.956624307146
2021-06-23,35090.31287348663
2021-06-24,79684.970035768
2021-06-25,110312.58081164745
2021-06-26,94043.13182112788
2021-06-27,96111.49367959343
2021-06-28,43278.70856123192
2021-06-29,67881.96117538468
2021-06-30,63834.065717191515
