date_time,number_of_rentals
2021-04-01,62824.65
2021-04-02,62315.96
2021-04-03,39228.1
2021-04-04,43345.523
2021-04-05,76368.81
2021-04-06,76250.54
2021-04-07,74547.54
2021-04-08,75629.45
2021-04-09,75510.62
2021-04-10,76568.84
2021-04-11,75889.125
2021-04-12,42428.35
2021-04-13,54884.75
2021-04-14,75436.04
2021-04-15,74034.414
2021-04-16,55860.215
2021-04-17,49962.555
2021-04-18,78277.44
2021-04-19,86458.49
2021-04-20,92241.4
2021-04-21,93803.74
2021-04-22,94998.2
2021-04-23,82639.75
2021-04-24,85588.016
2021-04-25,86364.37
2021-04-26,79095.625
2021-04-27,58627.383
2021-04-28,68803.02
2021-04-29,63146.207
2021-04-30,45407.863
2021-05-01,22351.535
2021-05-02,71504.695
2021-05-03,77962.16
2021-05-04,43108.277
2021-05-05,70602.6
2021-05-06,78804.4
2021-05-07,62485.75
2021-05-08,78496.016
2021-05-09,79339.93
2021-05-10,72822.03
2021-05-11,101624.086
2021-05-12,99874.05
2021-05-13,98416.3
2021-05-14,93944.49
2021-05-15,76491.555
2021-05-16,37240.996
2021-05-17,77395.13
2021-05-18,93567.25
2021-05-19,93444.28
2021-05-20,80538.82
2021-05-21,61557.98
2021-05-22,96982.85
2021-05-23,94471.86
2021-05-24,89551.45
2021-05-25,73737.9
2021-05-26,81049.234
2021-05-27,52520.9
2021-05-28,70200.56
2021-05-29,85254.7
2021-05-30,84643.63
2021-05-31,78190.79
2021-06-01,94600.305
2021-06-02,98070.86
2021-06-03,63076.36
2021-06-04,94863.22
2021-06-05,100376.66
2021-06-06,102544.23
2021-06-07,105089.22
2021-06-08,96488.586
2021-06-09,98930.38
2021-06-10,93686.02
2021-06-11,52312.027
2021-06-12,103565.38
2021-06-13,101494.625
2021-06-14,101708.59
2021-06-15,91451.36
2021-06-16,98060.19
2021-06-17,94205.836
2021-06-18,74990.414
2021-06-19,105490.76
2021-06-20,105430.5
2021-06-21,106986.266
2021-06-22,44986.97
2021-06-23,37869.44
2021-06-24,81703.38
2021-06-25,104110.73
2021-06-26,89069.04
2021-06-27,96167.07
2021-06-28,35775.758
2021-06-29,57599.043
2021-06-30,43147.4
