date_time,number_of_rentals
2021-04-01,71156
2021-04-02,66627
2021-04-03,21156
2021-04-04,32413
2021-04-05,75773
2021-04-06,76604
2021-04-07,75074
2021-04-08,76366
2021-04-09,74668
2021-04-10,80792
2021-04-11,73765
2021-04-12,38644
2021-04-13,38029
2021-04-14,75444
2021-04-15,75164
2021-04-16,34071
2021-04-17,24981
2021-04-18,81569
2021-04-19,84466
2021-04-20,86524
2021-04-21,87516
2021-04-22,86607
2021-04-23,81528
2021-04-24,81768
2021-04-25,85471
2021-04-26,77705
2021-04-27,67125
2021-04-28,51784
2021-04-29,73942
2021-04-30,36569
2021-05-01,18951
2021-05-02,55676
2021-05-03,78315
2021-05-04,35406
2021-05-05,69448
2021-05-06,82013
2021-05-07,65813
2021-05-08,83806
2021-05-09,81738
2021-05-10,76916
2021-05-11,97283
2021-05-12,96469
2021-05-13,98905
2021-05-14,93272
2021-05-15,63082
2021-05-16,9633
2021-05-17,70196
2021-05-18,96093
2021-05-19,91415
2021-05-20,81148
2021-05-21,40446
2021-05-22,93314
2021-05-23,92008
2021-05-24,94056
2021-05-25,76747
2021-05-26,86932
2021-05-27,58156
2021-05-28,74888
2021-05-29,90367
2021-05-30,86238
2021-05-31,74858
2021-06-01,90023
2021-06-02,94537
2021-06-03,51129
2021-06-04,87904
2021-06-05,100367
2021-06-06,100471
2021-06-07,104912
2021-06-08,96439
2021-06-09,104180
2021-06-10,102923
2021-06-11,45556
2021-06-12,103178
2021-06-13,100863
2021-06-14,104091
2021-06-15,93562
2021-06-16,96004
2021-06-17,86743
2021-06-18,68784
2021-06-19,105963
2021-06-20,101905
2021-06-21,103633
2021-06-22,56644
2021-06-23,48773
2021-06-24,67111
2021-06-25,99426
2021-06-26,91221
2021-06-27,86237
2021-06-28,39369
2021-06-29,43923
2021-06-30,31460
